layer,a_train,a_val,a_implied,a_implied_recall,a_human,a_human_recall,a_jm_recall,a_jm_pooled,a_jm_train_recall,a_pdist_val_neutral,a_pdist_val_distressed,a_pdist_implied,a_pdist_third_party,a_pdist_third_party_neutral,a_pdist_human_third_party,a_pdist_human_third_party_neutral,a_pdist_human_implied,a_C,b_train,b_val,b_human,b_human_recall,b_jm_recall,b_jm_pooled,b_C,c_train,c_val,c_human,c_C,shuffled_a_val,shuffled_b_val,cos_wa_wb,cos_wa_rand,cos_wb_rand
0,1.0,1.0,0.9875,0.975,0.5666666666666667,0.3333333333333333,0.6666666666666666,0.8333333333333333,1.0,0.028849327936768532,0.9874775409698486,0.9385164380073547,0.9793944358825684,0.9499455690383911,0.778130829334259,0.5504641532897949,0.5517895817756653,0.01,0.9916666666666667,0.9666666666666667,0.7333333333333334,0.6666666666666666,1.0,0.9833333333333334,0.001,0.8444444444444444,0.8222222222222223,0.4888888888888889,0.001,0.3833333333333333,0.48333333333333334,0.9255632758140564,0.004509897622864806,0.014915706263495228
1,1.0,1.0,0.9875,0.975,0.6333333333333333,0.6666666666666666,0.8888888888888888,0.9444444444444444,1.0,0.02679554745554924,0.9879609942436218,0.9579971432685852,0.9858804941177368,0.9408066868782043,0.9048000574111938,0.5885366201400757,0.7795820832252502,0.01,0.9916666666666667,0.9833333333333334,0.7,1.0,1.0,1.0,0.001,0.8944444444444445,0.8222222222222223,0.41111111111111115,0.001,0.4166666666666667,0.43333333333333335,0.9223039746284485,0.004246292293959509,0.0017825522785611596
2,1.0,1.0,0.9875,0.975,0.5166666666666667,0.8333333333333334,0.8888888888888888,0.9444444444444444,1.0,0.011144367977976799,0.9975977540016174,0.9732839465141296,0.9966316223144531,0.9751976132392883,0.979714035987854,0.7467655539512634,0.925098717212677,0.1,1.0,0.9833333333333334,0.5,1.0,1.0,1.0,0.01,0.8972222222222223,0.8333333333333334,0.3333333333333333,0.001,0.4666666666666667,0.43333333333333335,0.8805058598518372,-0.02993248998022966,-0.045523902756246085
3,0.9958333333333333,0.9833333333333334,1.0,1.0,0.7,1.0,1.0,0.9833333333333334,1.0,0.06466467678546906,0.9476945400238037,0.9051935076713562,0.9271899461746216,0.8413866758346558,0.8298882246017456,0.6787668466567993,0.8625761866569519,0.001,1.0,1.0,0.4166666666666667,0.8333333333333334,1.0,1.0,0.1,0.8638888888888889,0.8222222222222223,0.45555555555555555,0.001,0.5666666666666667,0.5666666666666667,0.8809418082237244,-0.0036549245031135455,-0.004701954542892001
4,0.9958333333333333,0.9833333333333334,1.0,1.0,0.7,1.0,1.0,0.9833333333333334,1.0,0.08003078401088715,0.932295560836792,0.8828293681144714,0.9140801429748535,0.8070484399795532,0.8072019815444946,0.6474837064743042,0.8557196855545044,0.001,1.0,0.9833333333333334,0.5,1.0,1.0,0.9833333333333334,0.1,0.8833333333333334,0.7999999999999999,0.41111111111111115,0.001,0.6499999999999999,0.5,0.8792213201522827,0.008783226066551809,0.011113501912677981
5,1.0,0.9833333333333334,1.0,1.0,0.8,1.0,1.0,0.9833333333333334,1.0,0.027465758845210075,0.9973310828208923,0.9853492975234985,0.9971773028373718,0.9749668836593628,0.9581014513969421,0.7546970844268799,0.9726797342300415,0.1,1.0,0.9833333333333334,0.5,1.0,1.0,0.9833333333333334,0.01,0.8916666666666666,0.8111111111111112,0.35555555555555557,0.001,0.5333333333333333,0.5,0.8860867023468018,0.0013106541215029313,-0.008748257531911717
6,1.0,0.9833333333333334,1.0,1.0,0.7,1.0,1.0,0.9833333333333334,1.0,0.024778863415122032,0.9975225329399109,0.9853788614273071,0.9961465001106262,0.9711436033248901,0.9608368873596191,0.7557002902030945,0.9626358151435852,0.1,1.0,0.9833333333333334,0.6,1.0,1.0,0.9833333333333334,0.01,0.9027777777777778,0.7777777777777777,0.4666666666666666,0.001,0.5166666666666666,0.55,0.8991482257843018,0.011701438877427037,-0.0014019720406798655
7,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.023547910153865814,0.9810599684715271,0.9536234736442566,0.972440242767334,0.9087857007980347,0.9236270785331726,0.6568587422370911,0.9075377583503723,0.01,1.0,1.0,0.7,1.0,1.0,1.0,0.01,1.0,0.8222222222222223,0.4666666666666666,0.1,0.5,0.43333333333333335,0.9309332370758057,0.036897573503042104,0.041168282646602224
8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.01958341710269451,0.9789442420005798,0.9613265991210938,0.9789692163467407,0.9154938459396362,0.9426268339157104,0.673914909362793,0.9079288244247437,0.01,1.0,1.0,0.7,1.0,1.0,1.0,0.1,1.0,0.8333333333333334,0.5333333333333333,0.1,0.5666666666666667,0.5166666666666666,0.9226938486099243,-0.005087876654851284,-2.1709960584098414e-05
9,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,0.09468287974596024,0.9146875143051147,0.8851868510246277,0.9034555554389954,0.7735482454299927,0.8558155298233032,0.5899146795272827,0.8248922228813171,0.001,1.0,1.0,0.7,1.0,1.0,1.0,0.01,1.0,0.8777777777777778,0.6555555555555556,0.1,0.43333333333333335,0.45,0.9425748586654663,-0.014924373401327221,-0.010078955827629538
10,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.01961321011185646,0.9807289242744446,0.9677530527114868,0.9869691133499146,0.8961629867553711,0.9654717445373535,0.6836297512054443,0.9210993051528931,0.01,1.0,1.0,0.7,1.0,1.0,1.0,0.01,1.0,0.8777777777777778,0.6555555555555556,0.1,0.5833333333333333,0.5166666666666666,0.9455841779708862,-0.026049079921015603,-0.023667871063459026
11,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.017354847863316536,0.980465829372406,0.9607875943183899,0.9828735589981079,0.8665779232978821,0.9604778289794922,0.6734952330589294,0.91337651014328,0.01,1.0,1.0,0.8,1.0,1.0,1.0,0.01,1.0,0.8555555555555556,0.7555555555555555,0.1,0.4166666666666667,0.5666666666666667,0.943667471408844,-0.024660956836004257,-0.028087057875830556
12,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.0051928432658314705,0.9958398938179016,0.9853445291519165,0.997850239276886,0.9323756098747253,0.9896866083145142,0.730401873588562,0.9550269842147827,0.1,1.0,1.0,0.9,1.0,1.0,1.0,0.01,1.0,0.8666666666666667,0.8222222222222223,0.1,0.4,0.5666666666666667,0.9220711588859558,-0.0019868074297298773,-0.010667212195898
13,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,0.0058867065235972404,0.9928165674209595,0.9823030233383179,0.997388482093811,0.9357563853263855,0.9942941665649414,0.7489094734191895,0.9537865519523621,0.1,1.0,1.0,0.8,1.0,1.0,1.0,0.1,1.0,0.8555555555555555,0.9333333333333332,0.1,0.48333333333333334,0.5,0.9095893502235413,-0.0003982111399423314,0.010382410471585383
14,1.0,1.0,0.9875,0.975,0.8,1.0,1.0,1.0,1.0,0.006750588770955801,0.9922540187835693,0.9809802770614624,0.9973206520080566,0.9300772547721863,0.9958913922309875,0.7713464498519897,0.9510265588760376,0.1,1.0,1.0,0.8,1.0,1.0,1.0,0.01,1.0,0.8777777777777778,0.8666666666666667,0.1,0.5333333333333333,0.4666666666666667,0.9211137294769287,0.005333766937248002,0.018046137741284437
15,1.0,1.0,0.9875,0.975,0.8,1.0,1.0,1.0,1.0,0.07866482436656952,0.92689049243927,0.8773195147514343,0.9303457140922546,0.7028533220291138,0.8837849497795105,0.5870344042778015,0.7363360524177551,0.001,1.0,1.0,0.8,1.0,1.0,1.0,0.1,1.0,0.9222222222222222,0.8111111111111112,0.1,0.7,0.5666666666666667,0.8796138167381287,-0.02876362050753684,-0.01789438893039651
16,0.9958333333333333,1.0,0.9875,0.975,0.9,1.0,1.0,1.0,1.0,0.07919622957706451,0.9243439435958862,0.8749015927314758,0.9264469146728516,0.6940401792526245,0.874301552772522,0.5895559787750244,0.7284334301948547,0.001,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.9888888888888889,0.9111111111111111,0.9333333333333332,0.001,0.43333333333333335,0.4166666666666667,0.9366338849067688,-0.006337252483656913,-0.0063710044399277015
17,1.0,1.0,0.9875,0.975,0.8,1.0,1.0,1.0,1.0,0.006939719896763563,0.9927529692649841,0.9681626558303833,0.9971462488174438,0.8159297704696655,0.9866600036621094,0.6739422678947449,0.9397651553153992,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.001,0.9888888888888889,0.9444444444444445,0.9444444444444445,0.001,0.6333333333333333,0.5666666666666667,0.8632160425186157,0.027217025004813062,0.011741347140645253
18,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.007292490918189287,0.9895052313804626,0.9672992825508118,0.9962244033813477,0.78248131275177,0.9925713539123535,0.6351165771484375,0.8844505548477173,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.001,1.0,0.9222222222222222,0.8777777777777778,0.01,0.5666666666666667,0.48333333333333334,0.8533636331558228,0.019813987706479345,0.012357891077994145
19,1.0,1.0,0.975,0.95,0.7,1.0,1.0,1.0,1.0,0.0065354579128324986,0.9742235541343689,0.9518340229988098,0.9844534993171692,0.7555332183837891,0.9924238920211792,0.5576097965240479,0.7522523403167725,0.1,1.0,1.0,0.7,1.0,1.0,1.0,0.01,1.0,0.9555555555555556,0.7999999999999999,0.1,0.5,0.6333333333333333,0.8694860935211182,-0.037872553480446824,-0.03435923194730164
20,1.0,0.95,0.9625,0.925,0.8,1.0,0.8888888888888888,0.9444444444444444,1.0,0.07930760085582733,0.8981484770774841,0.8376051187515259,0.8838801383972168,0.5844577550888062,0.8640724420547485,0.46478694677352905,0.5587820410728455,0.001,1.0,1.0,0.7,1.0,1.0,1.0,0.01,1.0,0.9222222222222222,0.7999999999999999,0.1,0.4833333333333333,0.43333333333333335,0.8671243190765381,0.026116409628169145,0.009466894370810013
21,1.0,0.9666666666666667,0.95,0.9,0.9,1.0,1.0,1.0,1.0,0.0804753229022026,0.8979133367538452,0.8341205716133118,0.8826476335525513,0.5867829322814941,0.8669137954711914,0.45388731360435486,0.5526355504989624,0.001,1.0,0.9833333333333334,0.8,1.0,1.0,1.0,0.001,1.0,0.9333333333333332,0.7999999999999999,0.1,0.43333333333333335,0.5333333333333333,0.9166368246078491,0.0016923612792521933,0.006343624409496938
22,1.0,0.9666666666666667,0.9625,0.925,1.0,1.0,1.0,1.0,1.0,0.08085406571626663,0.8998027443885803,0.8274618983268738,0.8798233866691589,0.540819525718689,0.8697063326835632,0.40264105796813965,0.5412195920944214,0.001,1.0,1.0,0.8,1.0,1.0,1.0,0.1,1.0,0.9666666666666668,0.7999999999999999,0.01,0.6,0.5333333333333333,0.7820125818252563,0.009061560610613513,-7.009887697771029e-05
23,1.0,0.9833333333333334,0.9625,0.925,0.7,1.0,1.0,1.0,1.0,0.026659876108169556,0.9356921911239624,0.8950029611587524,0.9348762631416321,0.5764399766921997,0.9563730359077454,0.3872157633304596,0.572364866733551,0.01,1.0,1.0,0.7,1.0,1.0,1.0,0.1,1.0,0.9444444444444445,0.7444444444444445,0.1,0.5833333333333333,0.43333333333333335,0.8310132026672363,0.0007148408074471081,0.005747108016630068
24,1.0,0.9833333333333334,0.9625,0.925,0.7,1.0,1.0,1.0,1.0,0.02826928161084652,0.9337387084960938,0.8949750065803528,0.9310855865478516,0.5366346836090088,0.9610334634780884,0.33565470576286316,0.5777437090873718,0.01,1.0,1.0,0.7,1.0,1.0,1.0,0.1,1.0,0.9555555555555556,0.7444444444444445,0.1,0.4166666666666667,0.5666666666666667,0.8190152645111084,0.01434752251050027,0.01408359425399432
25,1.0,0.9666666666666667,0.9625,0.925,0.8,1.0,1.0,1.0,1.0,0.02724641188979149,0.9282554984092712,0.8921629190444946,0.9261325597763062,0.5518758893013,0.9610008001327515,0.3499208390712738,0.5568053126335144,0.01,1.0,0.9833333333333334,0.8,1.0,1.0,1.0,0.1,1.0,0.9222222222222222,0.7444444444444445,0.1,0.43333333333333335,0.5,0.8082476854324341,-0.002053963846392252,-0.020896422038500867
26,1.0,0.9833333333333334,0.9625,0.925,0.8,1.0,1.0,1.0,1.0,0.008545811288058758,0.9505231380462646,0.9188801050186157,0.9585921168327332,0.5989460945129395,0.9882944822311401,0.3910227417945862,0.5764754414558411,0.1,1.0,0.9833333333333334,0.8,1.0,1.0,1.0,0.1,1.0,0.9222222222222222,0.7444444444444445,0.1,0.4666666666666667,0.43333333333333335,0.7939444184303284,0.025656537175208195,0.031298241920233304
27,1.0,0.9833333333333334,0.9625,0.925,0.8,1.0,1.0,1.0,1.0,0.027336152270436287,0.9211275577545166,0.8799247741699219,0.9208903312683105,0.5499919652938843,0.9543565511703491,0.4012202322483063,0.5250241756439209,0.01,1.0,0.9833333333333334,0.7,1.0,1.0,1.0,0.1,1.0,0.9333333333333332,0.7999999999999999,0.01,0.41666666666666663,0.4,0.788063108921051,0.022653396591343262,0.008370766871661002
28,1.0,0.9833333333333334,0.95,0.9,0.8,1.0,1.0,1.0,1.0,0.024598252028226852,0.9356619119644165,0.8708513975143433,0.9236071705818176,0.5072357058525085,0.9456931352615356,0.43401461839675903,0.5331934690475464,0.01,1.0,0.9833333333333334,0.7,1.0,1.0,1.0,0.1,1.0,0.9222222222222222,0.8666666666666667,0.1,0.43333333333333335,0.6166666666666667,0.783948540687561,0.004039321684866783,-0.004613950196681905
