layer,a_train,a_val,a_val_bare,a_implied_recall,a_implied_ba_bare,a_implied_ba_np,a_human,a_human_recall,a_jm_recall,a_jm_pooled,a_positive_as_distressed,a_pdist_bare_neutral_val,a_pdist_neutral_preamble_val,a_pdist_distressed_val,a_pdist_frustrated_val,a_pdist_positive_all,a_pdist_implied,a_pdist_third_party,a_pdist_third_party_neutral,a_pdist_human_neutral,a_pdist_human_distressed,a_pdist_human_frustrated,a_pdist_human_implied,a_pdist_human_third_party,a_pdist_human_third_party_neutral,a_C,shuffled_a_val,b_train,b_val,b_val_bare,b_human,b_human_recall,b_jm_recall,b_positive_as_frustrated,b_C,shuffled_b_val,d_train,d_val,d_val_n,d_implied_as_distressed,d_np_as_distressed,d_C,shuffled_d_val,c_train,c_val,c_human,c_C,cos_wa_wb,cos_wa_rand,cos_wb_rand,cos_wa_wd
0,1.0,0.7666666666666666,0.8333333333333333,0.65,0.825,0.7250000000000001,0.4,0.0,0.3333333333333333,0.5666666666666667,0.6,0.050882089883089066,0.20931503176689148,0.7498864531517029,0.7494198083877563,0.5879176259040833,0.6090452671051025,0.7345766425132751,0.1634436547756195,0.24038994312286377,0.04728934168815613,0.4409995973110199,0.5152078866958618,0.4944285452365875,0.005405439529567957,0.1,0.48333333333333334,1.0,0.7666666666666666,0.8833333333333333,0.4666666666666667,0.3333333333333333,1.0,0.52,0.1,0.41666666666666663,0.9428571428571428,0.8166666666666667,45,0.675,0.7333333333333333,0.01,0.5,0.9055555555555556,0.6222222222222222,0.3666666666666667,0.01,0.5315447449684143,-0.026490778009099825,-0.0027709551910381344,0.236250102519989
1,1.0,0.8166666666666667,0.8,0.45,0.6625,0.675,0.3,0.0,0.3333333333333333,0.6166666666666667,0.52,0.12476149201393127,0.13376884162425995,0.7003307342529297,0.6877148151397705,0.5442590117454529,0.4667093753814697,0.6655534505844116,0.07040317356586456,0.2903369963169098,0.09794274717569351,0.4443472921848297,0.14654776453971863,0.4243144094944,0.002871073316782713,0.1,0.5166666666666666,1.0,0.8666666666666667,0.95,0.4666666666666667,0.3333333333333333,1.0,0.6,0.1,0.5166666666666666,1.0,0.75,45,0.7,0.5666666666666667,0.1,0.43333333333333335,0.8305555555555556,0.7000000000000001,0.25555555555555554,0.001,0.591519832611084,-0.01769629229477618,0.00023912655822004832,0.27198484539985657
2,1.0,0.8166666666666667,0.8833333333333333,0.525,0.7375,0.6791666666666667,0.3,0.0,0.4444444444444444,0.6388888888888888,0.64,0.08058532327413559,0.22005783021450043,0.7424657940864563,0.7122045159339905,0.6094338893890381,0.5367366075515747,0.6931768655776978,0.09345754981040955,0.3215421140193939,0.21992997825145721,0.491374135017395,0.40106505155563354,0.5534619688987732,0.01660737954080105,0.1,0.48333333333333334,1.0,0.9,0.9833333333333334,0.5333333333333333,0.6666666666666666,1.0,0.56,0.1,0.6333333333333333,1.0,0.75,45,0.725,0.6666666666666666,0.1,0.5666666666666667,1.0,0.688888888888889,0.41111111111111115,0.1,0.6050421595573425,0.005596262445524551,0.002801031411053931,0.269366592168808
3,1.0,0.8166666666666667,0.9166666666666667,0.375,0.675,0.5875,0.4,0.0,0.3333333333333333,0.5666666666666667,0.66,0.07259997725486755,0.18440397083759308,0.8444548845291138,0.8070614337921143,0.6514228582382202,0.4190567135810852,0.6657184958457947,0.08401519060134888,0.19083110988140106,0.17905651032924652,0.651556670665741,0.6622787714004517,0.4704628884792328,0.002509227255359292,0.1,0.4166666666666667,1.0,0.8333333333333333,0.9166666666666667,0.7166666666666667,0.8333333333333334,1.0,0.62,0.1,0.4666666666666667,1.0,0.8,45,0.875,0.6333333333333333,0.1,0.45,1.0,0.7000000000000001,0.35555555555555557,0.1,0.6967280507087708,0.028991365978710288,0.042576697793992174,0.3022750914096832
4,1.0,0.8,0.8333333333333334,0.4,0.675,0.6166666666666667,0.5833333333333334,0.16666666666666666,0.4444444444444444,0.6388888888888888,0.54,0.1387295126914978,0.19891181588172913,0.7760850191116333,0.7560164928436279,0.5861235857009888,0.39045006036758423,0.6558237075805664,0.07798705250024796,0.04756699129939079,0.1359764039516449,0.730983316898346,0.4152492582798004,0.4206268787384033,0.0038039744831621647,0.1,0.5333333333333333,1.0,0.8,0.8166666666666667,0.8166666666666667,0.8333333333333334,1.0,0.6,0.1,0.43333333333333335,1.0,0.7333333333333334,45,0.825,0.5666666666666667,0.1,0.48333333333333334,1.0,0.6333333333333333,0.3,0.1,0.6597063541412354,-0.011572069952674863,0.0013681834511852643,0.3505667448043823
5,1.0,0.8,0.8500000000000001,0.375,0.675,0.5708333333333333,0.5,0.0,0.3333333333333333,0.55,0.54,0.15365161001682281,0.19971200823783875,0.8117386698722839,0.755914032459259,0.5811166167259216,0.38320988416671753,0.6295461058616638,0.09932710975408554,0.02631187066435814,0.0948471650481224,0.6759169101715088,0.34568852186203003,0.3784981369972229,0.005373504012823105,0.1,0.41666666666666663,1.0,0.7666666666666666,0.8333333333333334,0.9166666666666667,0.8333333333333334,1.0,0.64,0.1,0.5,1.0,0.7666666666666666,45,0.825,0.7,0.1,0.5833333333333334,0.9916666666666667,0.6555555555555554,0.37777777777777777,0.01,0.6940866112709045,0.029791873740214223,0.029755642461655515,0.3552468419075012
6,1.0,0.8500000000000001,0.8833333333333333,0.4,0.675,0.6166666666666667,0.5833333333333334,0.16666666666666666,0.4444444444444444,0.6388888888888888,0.68,0.12124709784984589,0.1689138263463974,0.8163770437240601,0.7386788129806519,0.6148512363433838,0.3891488015651703,0.5842186212539673,0.06780695915222168,0.059858568012714386,0.14458297193050385,0.615440309047699,0.36194080114364624,0.2988944947719574,0.002303501358255744,0.1,0.41666666666666663,1.0,0.7666666666666666,0.8333333333333334,0.9166666666666667,0.8333333333333334,1.0,0.68,0.1,0.5166666666666666,1.0,0.7166666666666667,45,0.875,0.8,0.1,0.5,1.0,0.6777777777777777,0.4222222222222222,0.1,0.6747202277183533,0.0043629009400687245,-0.003948859487310847,0.3277879059314728
7,1.0,0.8500000000000001,0.9333333333333333,0.45,0.725,0.6416666666666667,0.5833333333333334,0.16666666666666666,0.4444444444444444,0.6388888888888888,0.76,0.06631352752447128,0.1845862865447998,0.8447369337081909,0.7567779421806335,0.6783813238143921,0.4902040362358093,0.6009217500686646,0.06377050280570984,0.08496186882257462,0.24666355550289154,0.5589205622673035,0.33394700288772583,0.3703162968158722,0.009145462885499,0.1,0.4666666666666667,1.0,0.8,0.9,0.9166666666666667,0.8333333333333334,1.0,0.74,0.1,0.41666666666666663,1.0,0.7333333333333334,45,0.875,0.7666666666666667,0.1,0.5,0.9944444444444445,0.7111111111111111,0.5555555555555556,0.01,0.7053648829460144,0.004787447453414067,0.013551780736418472,0.2776128351688385
8,1.0,0.8833333333333333,0.9333333333333333,0.6,0.7875,0.7166666666666667,0.5833333333333334,0.16666666666666666,0.4444444444444444,0.6388888888888888,0.72,0.08383245766162872,0.18745183944702148,0.8507817387580872,0.7548155188560486,0.6960402131080627,0.5367884635925293,0.6904710531234741,0.057045526802539825,0.0834527462720871,0.1933998465538025,0.4877454340457916,0.3258114755153656,0.32362210750579834,0.006393158342689276,0.1,0.5666666666666667,1.0,0.8500000000000001,0.9166666666666667,0.8333333333333333,0.6666666666666666,1.0,0.74,0.1,0.48333333333333334,1.0,0.7,45,0.875,0.9,0.1,0.48333333333333334,1.0,0.7444444444444445,0.5555555555555556,0.1,0.7228785157203674,-0.024237880583525225,-0.015717479694420135,0.2634660005569458
9,1.0,0.8333333333333334,0.8833333333333333,0.6,0.7875,0.7,0.5833333333333334,0.16666666666666666,0.4444444444444444,0.6222222222222222,0.66,0.11262188106775284,0.17753475904464722,0.8500233292579651,0.7341625094413757,0.6366601586341858,0.5610563158988953,0.7940894365310669,0.03892173245549202,0.1045675054192543,0.24643443524837494,0.4595567286014557,0.3909294605255127,0.4614821970462799,0.012413354590535164,0.1,0.48333333333333334,1.0,0.8500000000000001,0.9,0.75,0.5,1.0,0.64,0.1,0.48333333333333334,1.0,0.7,45,0.825,0.8,0.1,0.45,0.9972222222222222,0.7666666666666667,0.5555555555555556,0.01,0.7267617583274841,-0.011892535024803896,0.004161560093879258,0.3075879216194153
10,1.0,0.8666666666666667,0.9,0.6,0.7749999999999999,0.7166666666666667,0.5833333333333334,0.16666666666666666,0.4444444444444444,0.6388888888888888,0.66,0.11678721010684967,0.1683526337146759,0.8690666556358337,0.7669379115104675,0.6358306407928467,0.6043172478675842,0.861956775188446,0.03846447914838791,0.1063326969742775,0.23408810794353485,0.509239912033081,0.40629658102989197,0.4977523684501648,0.01162624079734087,0.1,0.5166666666666666,1.0,0.8500000000000001,0.9,0.8333333333333333,0.6666666666666666,1.0,0.7,0.1,0.6,1.0,0.6833333333333333,45,0.85,0.8333333333333334,0.1,0.48333333333333334,1.0,0.7444444444444445,0.5555555555555556,0.1,0.743780255317688,-0.010626758494542223,-0.004361927694721321,0.3171827495098114
11,1.0,0.8833333333333333,0.95,0.725,0.85,0.7791666666666667,0.5666666666666667,0.3333333333333333,0.6666666666666666,0.75,0.76,0.09515801072120667,0.16956855356693268,0.9108204245567322,0.8442820310592651,0.6928120255470276,0.6633426547050476,0.8717430830001831,0.028066907078027725,0.18645699322223663,0.3627365529537201,0.7706854939460754,0.5503710508346558,0.5868382453918457,0.009989100508391857,0.1,0.43333333333333335,1.0,0.8500000000000001,0.9,0.8333333333333333,0.6666666666666666,1.0,0.7,0.1,0.4,1.0,0.6333333333333333,45,0.9,0.8,0.1,0.45,1.0,0.7444444444444445,0.6,0.1,0.7601278424263,0.024092644066471783,0.03711771312770779,0.3086754381656647
12,1.0,0.9,0.95,0.675,0.8375,0.7708333333333334,0.5666666666666667,0.3333333333333333,0.6666666666666666,0.7666666666666666,0.62,0.0725230723619461,0.15045545995235443,0.9102792143821716,0.8309866786003113,0.6321199536323547,0.6474055051803589,0.8752789497375488,0.02779528871178627,0.14270320534706116,0.29941725730895996,0.8075835108757019,0.5562971830368042,0.5037081241607666,0.009422372095286846,0.1,0.6666666666666667,1.0,0.8333333333333334,0.9166666666666667,0.9166666666666667,0.8333333333333334,1.0,0.68,0.1,0.55,1.0,0.6833333333333333,45,0.875,0.7333333333333333,0.1,0.48333333333333334,1.0,0.7444444444444445,0.6666666666666666,0.1,0.7519938349723816,-0.008450469732716664,0.004795946057908346,0.3480149805545807
13,1.0,0.9,0.95,0.775,0.875,0.8208333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.7666666666666666,0.64,0.03504730761051178,0.12602591514587402,0.911152184009552,0.8075944185256958,0.6135156750679016,0.7015594840049744,0.8968931436538696,0.018667180091142654,0.08876393735408783,0.37845802307128906,0.7502317428588867,0.36393433809280396,0.572839617729187,0.009396613575518131,0.1,0.55,1.0,0.8500000000000001,0.8833333333333333,0.8333333333333333,0.6666666666666666,1.0,0.64,0.1,0.41666666666666663,1.0,0.6833333333333333,45,0.85,0.6666666666666666,0.1,0.5166666666666667,1.0,0.7777777777777777,0.6666666666666666,0.1,0.7669984698295593,0.005337062629861769,-0.006209604974533788,0.3505162000656128
14,1.0,0.9,0.95,0.825,0.9125,0.8458333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.7666666666666666,0.66,0.03597736358642578,0.1348838359117508,0.9161463379859924,0.8130790591239929,0.6136046051979065,0.7348085045814514,0.9107656478881836,0.02963753044605255,0.12284131348133087,0.4007134437561035,0.7209308743476868,0.30034583806991577,0.627714991569519,0.008798112161457539,0.1,0.5666666666666667,1.0,0.8666666666666667,0.9166666666666667,0.8333333333333333,0.6666666666666666,1.0,0.66,0.1,0.3666666666666667,1.0,0.65,45,0.9,0.7333333333333333,0.1,0.55,1.0,0.7888888888888889,0.6666666666666666,0.1,0.7578777074813843,0.0014050201898626869,0.019781612874348164,0.34466996788978577
15,1.0,0.95,0.9833333333333334,0.825,0.9125,0.8791666666666667,0.9,1.0,1.0,0.9666666666666667,0.5,0.022358350455760956,0.08631794154644012,0.9545843601226807,0.9119060635566711,0.5079060792922974,0.7438510656356812,0.8934734463691711,0.02185004949569702,0.1454814076423645,0.8940587043762207,0.8192805647850037,0.28463834524154663,0.753625750541687,0.005694735795259476,0.1,0.4166666666666667,1.0,0.9333333333333333,0.9666666666666667,0.9166666666666667,0.8333333333333334,1.0,0.38,0.01,0.5,1.0,0.8666666666666667,45,1.0,0.7,0.1,0.4666666666666667,1.0,0.8777777777777778,0.8888888888888888,0.1,0.7467514872550964,-0.005506794443105061,-0.003530227436383347,0.34917283058166504
16,1.0,0.95,0.9833333333333334,0.825,0.9125,0.8791666666666667,0.9166666666666667,0.8333333333333334,0.8888888888888888,0.9111111111111111,0.5,0.024949023500084877,0.08572134375572205,0.9621934294700623,0.9188992381095886,0.49647676944732666,0.7721897959709167,0.9126954078674316,0.019450824707746506,0.11318971961736679,0.8718969225883484,0.821254551410675,0.39817070960998535,0.7058358192443848,0.002027371199801564,0.1,0.7166666666666666,1.0,0.9,0.95,0.9166666666666667,0.8333333333333334,1.0,0.32,0.1,0.4,1.0,0.8666666666666667,45,0.975,0.6333333333333333,0.1,0.5166666666666667,1.0,0.888888888888889,0.8333333333333334,0.1,0.7128059267997742,0.0118853463562456,-0.0002099993484873083,0.3776191473007202
17,1.0,0.95,0.9833333333333334,0.825,0.8999999999999999,0.8791666666666667,0.9166666666666667,0.8333333333333334,0.8888888888888888,0.9111111111111111,0.52,0.05949622020125389,0.10284988582134247,0.9351747632026672,0.8666446805000305,0.49935245513916016,0.7604158520698547,0.8851763606071472,0.03883611783385277,0.12715615332126617,0.8002907633781433,0.7668852806091309,0.44684791564941406,0.6799184679985046,0.010755926370620728,0.01,0.4,1.0,0.9333333333333333,0.9666666666666667,0.9166666666666667,0.8333333333333334,1.0,0.38,0.1,0.43333333333333335,1.0,0.9333333333333333,45,0.975,0.6,0.1,0.5833333333333334,1.0,0.8666666666666667,0.8333333333333334,0.01,0.7397072911262512,0.0005324188834210273,-0.006006277278514848,0.40160059928894043
