form,direction,fraction,n,correct,task_abandoned,acknowledges_emotion,user_state_inference,incoherent,mean_tokens
bare,none,0.0,30,0.96,0.0,0.0,0.0,0.0,37.4
bare,distressed_md,0.02,30,0.96,0.0,0.067,0.0,0.0,30.7
bare,distressed_md,0.04,30,0.96,0.1,0.2,0.267,0.0,26.7
bare,distressed_md,0.06,30,0.12,0.4,0.867,0.9,0.0,29.3
bare,distressed_md,0.08,30,0.0,0.4,1.0,1.0,0.033,27.6
bare,distressed_probe,0.02,30,0.96,0.033,0.0,0.0,0.0,36.1
bare,distressed_probe,0.04,30,0.96,0.0,0.033,0.0,0.0,37.4
bare,distressed_probe,0.06,30,0.92,0.033,0.067,0.033,0.0,40.5
bare,distressed_probe,0.08,30,0.72,0.067,0.1,0.067,0.0,46.2
bare,frustrated_md,0.02,30,0.92,0.0,0.033,0.0,0.0,26.9
bare,frustrated_md,0.04,30,0.96,0.067,0.0,0.033,0.0,17.3
bare,frustrated_md,0.06,30,0.76,0.067,0.033,0.033,0.1,17.6
bare,frustrated_md,0.08,30,0.08,0.2,0.333,0.2,0.967,72.4
bare,positive_md,0.02,30,0.96,0.0,0.0,0.0,0.0,29.5
bare,positive_md,0.04,30,0.96,0.0,0.0,0.0,0.0,18.0
bare,positive_md,0.06,30,0.4,0.2,0.033,0.0,0.233,23.6
bare,positive_md,0.08,30,0.08,0.3,0.0,0.0,0.833,55.3
bare,random,0.02,30,0.96,0.0,0.0,0.0,0.0,36.3
bare,random,0.04,30,0.96,0.0,0.0,0.0,0.0,34.1
bare,random,0.06,30,0.92,0.0,0.0,0.0,0.0,35.3
bare,random,0.08,30,0.84,0.0,0.0,0.0,0.0,37.3
bare,third_party_md,0.02,30,0.96,0.0,0.0,0.0,0.0,34.6
bare,third_party_md,0.04,30,0.88,0.2,0.1,0.133,0.0,35.8
bare,third_party_md,0.06,30,0.36,0.667,0.233,0.633,0.0,37.0
bare,third_party_md,0.08,30,0.0,0.467,0.533,1.0,0.067,36.3
bare,unrelated_coding_probe,0.02,30,0.96,0.0,0.0,0.0,0.0,35.0
bare,unrelated_coding_probe,0.04,30,0.96,0.0,0.0,0.0,0.067,36.1
bare,unrelated_coding_probe,0.06,30,0.92,0.0,0.0,0.0,0.033,33.2
bare,unrelated_coding_probe,0.08,30,0.8,0.0,0.0,0.0,0.233,53.3
preamble,none,0.0,30,0.92,0.0,0.0,0.0,0.0,35.1
preamble,distressed_md,0.02,30,0.92,0.0,0.067,0.033,0.0,30.9
preamble,distressed_md,0.04,30,0.8,0.233,0.867,0.633,0.0,31.7
preamble,distressed_md,0.06,30,0.28,0.5,0.933,0.933,0.0,30.3
preamble,distressed_md,0.08,30,0.08,0.333,1.0,1.0,0.033,28.2
preamble,distressed_probe,0.02,30,0.92,0.0,0.0,0.0,0.0,37.6
preamble,distressed_probe,0.04,30,0.88,0.033,0.033,0.0,0.0,42.8
preamble,distressed_probe,0.06,30,0.84,0.067,0.233,0.167,0.0,50.3
preamble,distressed_probe,0.08,30,0.68,0.167,0.367,0.167,0.033,54.2
preamble,frustrated_md,0.02,30,0.92,0.0,0.0,0.0,0.0,24.5
preamble,frustrated_md,0.04,30,0.92,0.033,0.0,0.033,0.0,18.2
preamble,frustrated_md,0.06,30,0.68,0.033,0.033,0.067,0.133,26.4
preamble,frustrated_md,0.08,30,0.0,0.267,0.5,0.1,0.933,75.6
preamble,positive_md,0.02,30,0.96,0.0,0.0,0.0,0.0,32.5
preamble,positive_md,0.04,30,0.84,0.033,0.133,0.0,0.0,25.7
preamble,positive_md,0.06,30,0.48,0.1,0.1,0.0,0.067,28.7
preamble,positive_md,0.08,30,0.2,0.2,0.0,0.0,0.667,43.5
preamble,random,0.02,30,0.92,0.0,0.0,0.0,0.0,37.1
preamble,random,0.04,30,0.88,0.0,0.0,0.0,0.0,40.0
preamble,random,0.06,30,0.84,0.0,0.0,0.0,0.0,36.8
preamble,random,0.08,30,0.8,0.0,0.0,0.0,0.0,38.3
preamble,third_party_md,0.02,30,0.92,0.0,0.033,0.033,0.0,35.1
preamble,third_party_md,0.04,30,0.88,0.433,0.267,0.333,0.0,37.8
preamble,third_party_md,0.06,30,0.2,0.567,0.367,0.933,0.0,40.9
preamble,third_party_md,0.08,30,0.04,0.4,0.333,0.967,0.2,41.6
preamble,unrelated_coding_probe,0.02,30,0.96,0.033,0.0,0.0,0.0,35.1
preamble,unrelated_coding_probe,0.04,30,0.96,0.0,0.0,0.0,0.0,36.3
preamble,unrelated_coding_probe,0.06,30,0.96,0.0,0.0,0.0,0.033,36.5
preamble,unrelated_coding_probe,0.08,30,0.88,0.0,0.033,0.0,0.267,66.7
